geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
R-HSA-372790	Signaling by GPCR	http://reactome.org/PathwayBrowser/#/R-HSA-372790	90	37	12.527472527472527	2.9535087719298247	0	0	10888;11245;1394;1395;150;152;1815;256933;2587;2832;2834;2847;2865;2922;3060;3061;319100;3269;3350;3351;3355;3357;3360;3361;3362;3363;4543;4828;4985;4986;4987;5179;5367;5443;7349;8620;8811	FFAR3;HRH1;NMB;DRD4;HTR7;HTR1A;HTR1B;OPRK1;OPRL1;TAAR6;HCRT;GALR1;CRHR1;HTR4;UCN;HTR1F;GALR2;GPR83;GRP;OPRD1;MTNR1A;POMC;HTR6;NPBWR2;HTR5A;PENK;NPB;PMCH;GPR176;MCHR1;NPFF;CRHR2;PRLHR;HCRTR1;ADRA2A;ADRA2C;HTR2B
R-HSA-500792	GPCR ligand binding	http://reactome.org/PathwayBrowser/#/R-HSA-500792	72	35	10.021978021978022	3.492324561403509	0	0	1394;1395;150;152;1815;256933;2587;2832;2834;2847;2865;2922;3060;3061;319100;3269;3350;3351;3355;3357;3360;3361;3362;3363;4543;4828;4985;4986;4987;5179;5367;5443;7349;8620;8811	FFAR3;HRH1;NMB;DRD4;HTR7;HTR1A;HTR1B;OPRK1;OPRL1;TAAR6;HCRT;GALR1;CRHR1;HTR4;UCN;HTR1F;GALR2;GRP;OPRD1;MTNR1A;POMC;HTR6;NPBWR2;HTR5A;PENK;NPB;PMCH;MCHR1;NPFF;CRHR2;PRLHR;HCRTR1;ADRA2A;ADRA2C;HTR2B
R-HSA-373076	Class A/1 (Rhodopsin-like receptors)	http://reactome.org/PathwayBrowser/#/R-HSA-373076	57	32	7.934065934065934	4.033240997229917	0	0	150;152;1815;256933;2587;2832;2834;2847;2865;2922;3060;3061;319100;3269;3350;3351;3355;3357;3360;3361;3362;3363;4543;4828;4985;4986;4987;5179;5367;5443;8620;8811	FFAR3;HRH1;NMB;DRD4;HTR7;HTR1A;HTR1B;OPRK1;OPRL1;TAAR6;HCRT;GALR1;HTR4;HTR1F;GALR2;GRP;OPRD1;MTNR1A;POMC;HTR6;NPBWR2;HTR5A;PENK;NPB;PMCH;MCHR1;NPFF;PRLHR;HCRTR1;ADRA2A;ADRA2C;HTR2B
R-HSA-388396	GPCR downstream signalling	http://reactome.org/PathwayBrowser/#/R-HSA-388396	88	35	12.24908424908425	2.8573564593301435	1.1102230246251565e-16	6.522560269672795e-15	10888;11245;1394;1395;150;152;1815;256933;2587;2832;2847;2865;2922;3060;3061;319100;3269;3350;3351;3355;3357;3360;3361;3362;3363;4543;4828;4985;4986;4987;5179;5367;5443;8620;8811	FFAR3;HRH1;NMB;DRD4;HTR7;HTR1A;HTR1B;OPRK1;OPRL1;TAAR6;HCRT;GALR1;CRHR1;HTR4;HTR1F;GALR2;GPR83;GRP;OPRD1;MTNR1A;POMC;HTR6;NPBWR2;HTR5A;PENK;NPB;PMCH;GPR176;MCHR1;NPFF;CRHR2;HCRTR1;ADRA2A;ADRA2C;HTR2B
R-HSA-162582	Signal Transduction	http://reactome.org/PathwayBrowser/#/R-HSA-162582	132	37	18.373626373626376	2.013755980861244	2.3456792064280307e-12	1.1024692270211744e-10	10888;11245;1394;1395;150;152;1815;256933;2587;2832;2834;2847;2865;2922;3060;3061;319100;3269;3350;3351;3355;3357;3360;3361;3362;3363;4543;4828;4985;4986;4987;5179;5367;5443;7349;8620;8811	FFAR3;HRH1;NMB;DRD4;HTR7;HTR1A;HTR1B;OPRK1;OPRL1;TAAR6;HCRT;GALR1;CRHR1;HTR4;UCN;HTR1F;GALR2;GPR83;GRP;OPRD1;MTNR1A;POMC;HTR6;NPBWR2;HTR5A;PENK;NPB;PMCH;GPR176;MCHR1;NPFF;CRHR2;PRLHR;HCRTR1;ADRA2A;ADRA2C;HTR2B
R-HSA-375276	Peptide ligand-binding receptors	http://reactome.org/PathwayBrowser/#/R-HSA-375276	26	17	3.619047619047619	4.697368421052632	9.801159883693344e-11	3.8387876211132266e-9	256933;2587;2832;2834;2847;2922;3060;3061;4828;4985;4986;4987;5179;5367;5443;8620;8811	NMB;OPRK1;OPRL1;HCRT;GALR1;GALR2;GRP;OPRD1;POMC;NPBWR2;PENK;NPB;PMCH;MCHR1;NPFF;PRLHR;HCRTR1
R-HSA-375280	Amine ligand-binding receptors	http://reactome.org/PathwayBrowser/#/R-HSA-375280	20	13	2.7838827838827838	4.669736842105263	3.855746144587613e-8	1.2944290628258415e-6	150;152;1815;319100;3269;3350;3351;3355;3357;3360;3361;3362;3363	HRH1;DRD4;HTR7;HTR1A;HTR1B;TAAR6;HTR4;HTR1F;HTR6;HTR5A;ADRA2A;ADRA2C;HTR2B
R-HSA-390666	Serotonin receptors	http://reactome.org/PathwayBrowser/#/R-HSA-390666	8	8	1.1135531135531136	7.184210526315789	7.08787120107246e-8	2.082062165315035e-6	3350;3351;3355;3357;3360;3361;3362;3363	HTR7;HTR1A;HTR1B;HTR4;HTR1F;HTR6;HTR5A;HTR2B
R-HSA-418594	G alpha (i) signalling events	http://reactome.org/PathwayBrowser/#/R-HSA-418594	45	19	6.263736263736264	3.033333333333333	1.377000433677722e-7	3.5955011323807184e-6	150;152;1815;256933;2587;2832;2847;3350;3351;3355;3361;4543;4985;4986;4987;5179;5367;5443;8811	DRD4;HTR1A;HTR1B;OPRK1;OPRL1;GALR1;HTR1F;GALR2;OPRD1;MTNR1A;POMC;NPBWR2;HTR5A;PENK;NPB;PMCH;MCHR1;ADRA2A;ADRA2C
R-HSA-418555	G alpha (s) signalling events	http://reactome.org/PathwayBrowser/#/R-HSA-418555	23	9	3.2014652014652016	2.811212814645309	0.0014932345937372915	0.03509101295282635	10888;11245;1394;1395;319100;3360;3362;3363;5443	HTR7;TAAR6;CRHR1;HTR4;GPR83;POMC;HTR6;GPR176;CRHR2
