geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
R-HSA-165159	mTOR signalling	http://reactome.org/PathwayBrowser/#/R-HSA-165159	7	7	0.4871794871794872	14.368421052631577	2.428257372955045e-9	5.706404826444356e-7	207;5562;5563;5564;57521;6198;84335	PRKAA2;PRKAA1;AKT1S1;RPS6KB1;RPTOR;PRKAB1;AKT1
R-HSA-3700989	Transcriptional Regulation by TP53	http://reactome.org/PathwayBrowser/#/R-HSA-3700989	9	7	0.6263736263736264	11.175438596491228	8.064322298828586e-8	9.475578701123588e-6	143686;207;5170;5562;5563;5564;57521	PRKAA2;PRKAA1;RPTOR;SESN3;PRKAB1;AKT1;PDPK1
R-HSA-5633007	Regulation of TP53 Activity	http://reactome.org/PathwayBrowser/#/R-HSA-5633007	5	5	0.34798534798534797	14.368421052631579	9.547054088399065e-7	6.026240724843479e-5	207;5170;5562;5563;5564	PRKAA2;PRKAA1;PRKAB1;AKT1;PDPK1
R-HSA-1257604	PIP3 activates AKT signaling	http://reactome.org/PathwayBrowser/#/R-HSA-1257604	8	6	0.5567765567765568	10.776315789473683	1.2821788776262721e-6	6.026240724843479e-5	207;2931;3643;5170;57521;84335	AKT1S1;INSR;RPTOR;GSK3A;AKT1;PDPK1
R-HSA-5628897	TP53 Regulates Metabolic Genes	http://reactome.org/PathwayBrowser/#/R-HSA-5628897	8	6	0.5567765567765568	10.776315789473683	1.2821788776262721e-6	6.026240724843479e-5	143686;207;5562;5563;5564;57521	PRKAA2;PRKAA1;RPTOR;SESN3;PRKAB1;AKT1
R-HSA-162582	Signal Transduction	http://reactome.org/PathwayBrowser/#/R-HSA-162582	132	18	9.186813186813188	1.9593301435406696	1.2035644860075578e-5	4.713960903529601e-4	207;2641;2642;2852;2864;2931;3479;3481;3643;5166;5170;5562;5563;5564;57521;6198;84335;8788	DLK1;PRKAA2;PRKAA1;PDK4;AKT1S1;INSR;FFAR1;GCG;RPS6KB1;RPTOR;GSK3A;IGF1;IGF2;GCGR;PRKAB1;AKT1;GPER1;PDPK1
R-HSA-1632852	Macroautophagy	http://reactome.org/PathwayBrowser/#/R-HSA-1632852	4	4	0.2783882783882784	14.368421052631579	1.7121050331359022e-5	4.8564136905238087e-4	5562;5563;5564;57521	PRKAA2;PRKAA1;RPTOR;PRKAB1
R-HSA-380972	Energy dependent regulation of mTOR by LKB1-AMPK	http://reactome.org/PathwayBrowser/#/R-HSA-380972	4	4	0.2783882783882784	14.368421052631579	1.7121050331359022e-5	4.8564136905238087e-4	5562;5563;5564;57521	PRKAA2;PRKAA1;RPTOR;PRKAB1
R-HSA-9006925	Intracellular signaling by second messengers	http://reactome.org/PathwayBrowser/#/R-HSA-9006925	11	6	0.7655677655677656	7.837320574162679	1.8599031155197565e-5	4.8564136905238087e-4	207;2931;3643;5170;57521;84335	AKT1S1;INSR;RPTOR;GSK3A;AKT1;PDPK1
R-HSA-2219528	PI3K/AKT Signaling in Cancer	http://reactome.org/PathwayBrowser/#/R-HSA-2219528	5	4	0.34798534798534797	11.494736842105263	8.178643002165753e-5	0.0017472555504626835	207;2931;5170;84335	AKT1S1;GSK3A;AKT1;PDPK1
