geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
R-HSA-5576891	Cardiac conduction	http://reactome.org/PathwayBrowser/#/R-HSA-5576891	17	16	2.0549450549450547	7.786096256684493	6.661338147750939e-16	1.5654144647214707e-13	23704;338567;3750;3751;3767;3784;490;5350;775;776;782;784;785;817;93589;9992	CACNA1C;ATP2B1;KCNQ1;CACNB1;KCNJ11;CACNA1D;KCND2;KCNE2;CAMK2D;CACNB4;KCND1;PLN;KCNE4;CACNA2D4;CACNB3;KCNK18
R-HSA-397014	Muscle contraction	http://reactome.org/PathwayBrowser/#/R-HSA-397014	20	16	2.4175824175824174	6.618181818181818	1.5021317523178368e-13	1.7650048089734582e-11	23704;338567;3750;3751;3767;3784;490;5350;775;776;782;784;785;817;93589;9992	CACNA1C;ATP2B1;KCNQ1;CACNB1;KCNJ11;CACNA1D;KCND2;KCNE2;CAMK2D;CACNB4;KCND1;PLN;KCNE4;CACNA2D4;CACNB3;KCNK18
R-HSA-5576893	Phase 2 - plateau phase	http://reactome.org/PathwayBrowser/#/R-HSA-5576893	9	9	1.0879120879120878	8.272727272727273	1.8984080973893924e-9	1.487086342955024e-7	23704;3784;775;776;782;784;785;93589;9992	CACNA1C;KCNQ1;CACNB1;CACNA1D;KCNE2;CACNB4;KCNE4;CACNA2D4;CACNB3
R-HSA-422475	Axon guidance	http://reactome.org/PathwayBrowser/#/R-HSA-422475	15	11	1.8131868131868132	6.066666666666666	1.49322085807313e-8	7.881557356759217e-7	7222;7223;7225;775;776;782;784;785;8911;8912;8913	CACNA1H;CACNA1C;CACNA1I;TRPC4;CACNA1G;CACNB1;CACNA1D;TRPC6;CACNB4;CACNB3;TRPC3
R-HSA-375165	NCAM signaling for neurite out-growth	http://reactome.org/PathwayBrowser/#/R-HSA-375165	8	8	0.967032967032967	8.272727272727273	2.0123125166193745e-8	7.881557356759217e-7	775;776;782;784;785;8911;8912;8913	CACNA1H;CACNA1C;CACNA1I;CACNA1G;CACNB1;CACNA1D;CACNB4;CACNB3
R-HSA-419037	NCAM1 interactions	http://reactome.org/PathwayBrowser/#/R-HSA-419037	8	8	0.967032967032967	8.272727272727273	2.0123125166193745e-8	7.881557356759217e-7	775;776;782;784;785;8911;8912;8913	CACNA1H;CACNA1C;CACNA1I;CACNA1G;CACNB1;CACNA1D;CACNB4;CACNB3
R-HSA-983712	Ion channel transport	http://reactome.org/PathwayBrowser/#/R-HSA-983712	9	8	1.0879120879120878	7.353535353535354	1.659208628268516e-7	5.5702003949014455e-6	259232;490;5350;55107;7222;7223;7225;817	ANO1;TRPC4;ATP2B1;TRPC6;CAMK2D;NALCN;PLN;TRPC3
R-HSA-5576892	Phase 0 - rapid depolarisation	http://reactome.org/PathwayBrowser/#/R-HSA-5576892	7	7	0.8461538461538461	8.272727272727273	2.0587505045188692e-7	6.047579607024178e-6	775;776;782;784;785;817;93589	CACNA1C;CACNB1;CACNA1D;CAMK2D;CACNB4;CACNA2D4;CACNB3
R-HSA-1296071	Potassium Channels	http://reactome.org/PathwayBrowser/#/R-HSA-1296071	10	8	1.2087912087912087	6.618181818181818	7.598809640407822e-7	1.984133628328709e-5	27133;338567;3750;3751;3760;3767;3784;3790	KCNS3;KCNQ1;KCNJ11;KCND2;KCND1;KCNJ3;KCNH5;KCNK18
R-HSA-382551	Transport of small molecules	http://reactome.org/PathwayBrowser/#/R-HSA-382551	15	9	1.8131868131868132	4.963636363636364	5.6742223281114335e-6	1.3334422471061869e-4	259232;3767;490;5350;55107;7222;7223;7225;817	ANO1;TRPC4;ATP2B1;KCNJ11;TRPC6;CAMK2D;NALCN;PLN;TRPC3
