geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
R-HSA-400253	Circadian Clock	http://reactome.org/PathwayBrowser/#/R-HSA-400253	12	12	1.1868131868131868	10.11111111111111	6.217248937900877e-14	1.461053500406706e-11	10499;10891;1407;1408;25819;5187;5465;6095;8648;8864;9572;9575	PPARGC1A;CLOCK;NOCT;NR1D1;PPARA;PER2;PER1;CRY1;CRY2;NCOA2;NCOA1;RORA
R-HSA-1989781	PPARA activates gene expression	http://reactome.org/PathwayBrowser/#/R-HSA-1989781	12	9	1.1868131868131868	7.583333333333333	4.194980363081413e-8	1.6761459962581307e-6	10499;10891;2874;5465;6095;84498;8648;9572;9575	PPARGC1A;GPS2;CLOCK;NR1D1;FAM120B;PPARA;NCOA2;NCOA1;RORA
R-HSA-400206	Regulation of lipid metabolism by Peroxisome proliferator-activated receptor alpha (PPARalpha)	http://reactome.org/PathwayBrowser/#/R-HSA-400206	12	9	1.1868131868131868	7.583333333333333	4.194980363081413e-8	1.6761459962581307e-6	10499;10891;2874;5465;6095;84498;8648;9572;9575	PPARGC1A;GPS2;CLOCK;NR1D1;FAM120B;PPARA;NCOA2;NCOA1;RORA
R-HSA-3247509	Chromatin modifying enzymes	http://reactome.org/PathwayBrowser/#/R-HSA-3247509	7	7	0.6923076923076923	10.11111111111111	4.279521692573951e-8	1.6761459962581307e-6	10499;2874;3054;6839;84159;8648;9575	GPS2;CLOCK;NCOA2;NCOA1;HCFC1;SUV39H1;ARID5B
R-HSA-4839726	Chromatin organization	http://reactome.org/PathwayBrowser/#/R-HSA-4839726	7	7	0.6923076923076923	10.11111111111111	4.279521692573951e-8	1.6761459962581307e-6	10499;2874;3054;6839;84159;8648;9575	GPS2;CLOCK;NCOA2;NCOA1;HCFC1;SUV39H1;ARID5B
R-HSA-2151201	Transcriptional activation of mitochondrial biogenesis	http://reactome.org/PathwayBrowser/#/R-HSA-2151201	7	7	0.6923076923076923	10.11111111111111	4.279521692573951e-8	1.6761459962581307e-6	10499;10891;23410;3054;5465;8648;9572	PPARGC1A;NR1D1;PPARA;NCOA2;NCOA1;HCFC1;SIRT3
R-HSA-556833	Metabolism of lipids	http://reactome.org/PathwayBrowser/#/R-HSA-556833	18	10	1.7802197802197801	5.617283950617284	4.2180482195952607e-7	1.4160590451498374e-5	10499;10891;2874;5465;5467;6095;84498;8648;9572;9575	PPARGC1A;GPS2;CLOCK;PPARD;NR1D1;FAM120B;PPARA;NCOA2;NCOA1;RORA
R-HSA-1592230	Mitochondrial biogenesis	http://reactome.org/PathwayBrowser/#/R-HSA-1592230	9	7	0.8901098901098901	7.864197530864198	1.3443732806983633e-6	3.949096512051442e-5	10499;10891;23410;3054;5465;8648;9572	PPARGC1A;NR1D1;PPARA;NCOA2;NCOA1;HCFC1;SIRT3
R-HSA-1368108	BMAL1:CLOCK,NPAS2 activates circadian gene expression	http://reactome.org/PathwayBrowser/#/R-HSA-1368108	5	5	0.49450549450549447	10.111111111111112	6.628256592144943e-6	1.7307114435045128e-4	10499;25819;5465;8648;9575	CLOCK;NOCT;PPARA;NCOA2;NCOA1
R-HSA-1852241	Organelle biogenesis and maintenance	http://reactome.org/PathwayBrowser/#/R-HSA-1852241	11	7	1.0879120879120878	6.434343434343435	1.0746955202312058e-5	2.525534472543334e-4	10499;10891;23410;3054;5465;8648;9572	PPARGC1A;NR1D1;PPARA;NCOA2;NCOA1;HCFC1;SIRT3
