geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
R-HSA-168256	Immune System	http://reactome.org/PathwayBrowser/#/R-HSA-168256	70	41	10.76923076923077	3.807142857142857	0	0	10068;10148;112744;116379;133396;1437;149233;163702;2207;23765;26525;27177;27178;27179;29949;3440;3460;3559;3561;3576;3581;3594;3595;50604;50616;51561;53832;55540;56300;64806;6772;6775;6778;7850;84639;84818;85480;8807;8808;90865;9846	TSLP;IL25;IL17F;IL36RN;IL33;IL36G;IL36A;CSF2;IL17RC;IL18BP;IL36B;STAT4;IL37;IL22;IL9R;IL20;IFNGR2;IL18RAP;IL22RA2;STAT6;FCER1G;IL17RA;IL12RB1;IL1RL2;IL23A;CXCL8;IL1F10;IL12RB2;IL19;IL1R2;IL31RA;GAB2;IL23R;EBI3;IFNLR1;IL20RA;IFNA2;STAT1;IL2RG;IL17RB;IL2RA
R-HSA-1280215	Cytokine Signaling in Immune system	http://reactome.org/PathwayBrowser/#/R-HSA-1280215	51	40	7.846153846153847	5.098039215686274	0	0	10068;10148;112744;116379;133396;1437;149233;163702;23765;26525;27177;27178;27179;29949;3440;3460;3559;3561;3576;3581;3594;3595;50604;50616;51561;53832;55540;56300;64806;6772;6775;6778;7850;84639;84818;85480;8807;8808;90865;9846	TSLP;IL25;IL17F;IL36RN;IL33;IL36G;IL36A;CSF2;IL17RC;IL18BP;IL36B;STAT4;IL37;IL22;IL9R;IL20;IFNGR2;IL18RAP;IL22RA2;STAT6;IL17RA;IL12RB1;IL1RL2;IL23A;CXCL8;IL1F10;IL12RB2;IL19;IL1R2;IL31RA;GAB2;IL23R;EBI3;IFNLR1;IL20RA;IFNA2;STAT1;IL2RG;IL17RB;IL2RA
R-HSA-449147	Signaling by Interleukins	http://reactome.org/PathwayBrowser/#/R-HSA-449147	48	38	7.384615384615385	5.145833333333333	0	0	10068;10148;112744;116379;133396;1437;149233;163702;23765;26525;27177;27178;27179;29949;3559;3561;3576;3581;3594;3595;50604;50616;51561;53832;55540;56300;64806;6772;6775;6778;7850;84639;84818;85480;8807;8808;90865;9846	TSLP;IL25;IL17F;IL36RN;IL33;IL36G;IL36A;CSF2;IL17RC;IL18BP;IL36B;STAT4;IL37;IL22;IL9R;IL20;IL18RAP;IL22RA2;STAT6;IL17RA;IL12RB1;IL1RL2;IL23A;CXCL8;IL1F10;IL12RB2;IL19;IL1R2;IL31RA;GAB2;IL23R;EBI3;IFNLR1;IL20RA;STAT1;IL2RG;IL17RB;IL2RA
R-HSA-446652	Interleukin-1 family signaling	http://reactome.org/PathwayBrowser/#/R-HSA-446652	12	11	1.8461538461538463	5.958333333333333	3.5713147994442807e-9	2.098147444673515e-7	10068;26525;27177;27178;27179;56300;7850;84639;8807;8808;90865	IL36RN;IL33;IL36G;IL36A;IL18BP;IL36B;IL37;IL18RAP;IL1RL2;IL1F10;IL1R2
R-HSA-8854691	Interleukin-20 family signaling	http://reactome.org/PathwayBrowser/#/R-HSA-8854691	8	8	1.2307692307692308	6.5	1.7106810057399002e-7	8.040200726977531e-6	116379;163702;29949;50604;50616;53832;6772;6775	STAT4;IL22;IL20;IL22RA2;IL19;IFNLR1;IL20RA;STAT1
R-HSA-447115	Interleukin-12 family signaling	http://reactome.org/PathwayBrowser/#/R-HSA-447115	7	7	1.076923076923077	6.499999999999999	1.3001175638294171e-6	4.3646803928559e-5	10148;149233;3594;3595;51561;6772;6775	STAT4;IL12RB1;IL23A;IL12RB2;IL23R;EBI3;STAT1
R-HSA-451927	Interleukin-2 family signaling	http://reactome.org/PathwayBrowser/#/R-HSA-451927	7	7	1.076923076923077	6.499999999999999	1.3001175638294171e-6	4.3646803928559e-5	1437;3559;3561;3581;6772;6775;9846	CSF2;STAT4;IL9R;GAB2;STAT1;IL2RG;IL2RA
R-HSA-9014826	Interleukin-36 pathway	http://reactome.org/PathwayBrowser/#/R-HSA-9014826	6	6	0.9230769230769231	6.5	9.642538598919614e-6	2.832495713432637e-4	26525;27177;27179;56300;84639;8808	IL36RN;IL36G;IL36A;IL36B;IL1RL2;IL1F10
R-HSA-448424	Interleukin-17 signaling	http://reactome.org/PathwayBrowser/#/R-HSA-448424	5	5	0.7692307692307693	6.5	6.984325255454671e-5	0.001823684927813164	112744;23765;55540;64806;84818	IL25;IL17F;IL17RC;IL17RA;IL17RB
R-HSA-8984722	Interleukin-35 Signalling	http://reactome.org/PathwayBrowser/#/R-HSA-8984722	4	4	0.6153846153846154	6.5	4.944167088729579e-4	0.00893753281424193	10148;3595;6772;6775	STAT4;IL12RB2;EBI3;STAT1
R-HSA-512988	Interleukin-3, Interleukin-5 and GM-CSF signaling	http://reactome.org/PathwayBrowser/#/R-HSA-512988	4	4	0.6153846153846154	6.5	4.944167088729579e-4	0.00893753281424193	1437;3559;3561;9846	CSF2;GAB2;IL2RG;IL2RA
R-HSA-912526	Interleukin receptor SHC signaling	http://reactome.org/PathwayBrowser/#/R-HSA-912526	4	4	0.6153846153846154	6.5	4.944167088729579e-4	0.00893753281424193	1437;3559;3561;9846	CSF2;GAB2;IL2RG;IL2RA
R-HSA-9020933	Interleukin-23 signaling	http://reactome.org/PathwayBrowser/#/R-HSA-9020933	4	4	0.6153846153846154	6.5	4.944167088729579e-4	0.00893753281424193	149233;3594;51561;6775	STAT4;IL12RB1;IL23A;IL23R
R-HSA-9012546	Interleukin-18 signaling	http://reactome.org/PathwayBrowser/#/R-HSA-9012546	3	3	0.46153846153846156	6.5	0.0034228849075821355	0.04468766407121121	10068;27178;8807	IL18BP;IL37;IL18RAP
R-HSA-9020591	Interleukin-12 signaling	http://reactome.org/PathwayBrowser/#/R-HSA-9020591	3	3	0.46153846153846156	6.5	0.0034228849075821355	0.04468766407121121	3594;3595;6775	STAT4;IL12RB1;IL12RB2
R-HSA-6783783	Interleukin-10 signaling	http://reactome.org/PathwayBrowser/#/R-HSA-6783783	3	3	0.46153846153846156	6.5	0.0034228849075821355	0.04468766407121121	1437;3576;7850	CSF2;CXCL8;IL1R2
R-HSA-8985947	Interleukin-9 signaling	http://reactome.org/PathwayBrowser/#/R-HSA-8985947	3	3	0.46153846153846156	6.5	0.0034228849075821355	0.04468766407121121	3561;3581;6772	IL9R;STAT1;IL2RG
R-HSA-9020958	Interleukin-21 signaling	http://reactome.org/PathwayBrowser/#/R-HSA-9020958	3	3	0.46153846153846156	6.5	0.0034228849075821355	0.04468766407121121	3561;6772;6775	STAT4;STAT1;IL2RG
